Sample ID,Indicator,Rep,Method,Mouse_ Ear_Tag,Sex,Mouse_Genotype,Virus_Titer,Time_After_Tumor_Initiation(wks),Total_Lung_Weight(g)
LA58_10,LA58_10,normal,one_step,MT2366,M,KTC,150K,15 wks,1.0691
LA58_11,LA58_11,normal,one_step,MT2369,M,KTC,150K,15 wks,0.9362
LA58_12,LA58_12,normal,one_step,MT2356,M,KTC,150K,15 wks,0.8861
LA58_13B,LA58_13B,normal,one_step,MT2358,M,KTC,150K,15 wks,0.5849
LA58_14B,LA58_14B,normal,one_step,MT2370,F,KTC,150K,15 wks,0.7982
LA58_15B,LA58_15B,normal,one_step,MT2333,M,KTC,150K,15 wks,0
LA58_16B,LA58_16B,normal,one_step,MT2337,F,KTC,150K,15 wks,1.1874
LA58_17,LA58_17,normal,one_step,MT2338,F,KTC,150K,15 wks,0.7048
LA58_18,LA58_18,normal,one_step,MT2353,F,KTC,150K,15 wks,1.2397
LA58_19,LA58_19,normal,one_step,MT2349,M,KTC,150K,15 wks,0.7152
LA58_1B,LA58_1B,normal,one_step,MT2280,M,KTC,150K,15 wks,0.8392
LA58_1B_i11,LA58_1B,technical_rep,one_step,MT2280,M,KTC,150K,15 wks,0.8392
LA58_1B_i23,LA58_1B,technical_rep,two_step,MT2280,M,KTC,150K,15 wks,0.8392
LA58_1B_i29,LA58_1B,technical_rep,two_step,MT2280,M,KTC,150K,15 wks,0.8392
LA58_20,LA58_20,normal,one_step,MT2350,M,KTC,150K,15 wks,1.1037
LA58_21,LA58_21,normal,one_step,MT2331,M,KTC,150K,15 wks,0.9484
LA58_22B,LA58_22B,normal,one_step,MT2335,M,KTC,150K,15 wks,0.9607
LA58_23B,LA58_23B,normal,one_step,MT2332,F,KTC,150K,15 wks,0.7201
LA58_24,LA58_24,normal,one_step,MT2347,M,KTC,150K,15 wks,0.9189
LA58_25B,LA58_25B,normal,one_step,MT2348,M,KTC,150K,15 wks,0.808
LA58_26,LA58_26,normal,one_step,MT2346,M,KTC,150K,15 wks,1.0125
LA58_27,LA58_27,normal,one_step,CM3578,M,KTC,150K,15 wks,0.4838
LA58_28,LA58_28,normal,one_step,CM3579,F,KTC,150K,15 wks,0.8425
LA58_29,LA58_29,normal,one_step,CM3580,F,KTC,150K,15 wks,0.5218
LA58_2B,LA58_2B,normal,one_step,MT2279,F,KTC,150K,15 wks,0.9663
LA58_2B_i12,LA58_2B,technical_rep,one_step,MT2279,F,KTC,150K,15 wks,0.9663
LA58_2B_i24,LA58_2B,technical_rep,two_step,MT2279,F,KTC,150K,15 wks,0.9663
LA58_2B_i30,LA58_2B,technical_rep,two_step,MT2279,F,KTC,150K,15 wks,0.9663
LA58_30,LA58_30,normal,one_step,CM3586,F,KTC,150K,15 wks,0.8628
LA58_31,LA58_31,normal,one_step,CM3584,M,KTC,150K,15 wks,0.7944
LA58_32,LA58_32,normal,one_step,CM3613,M,KTC,150K,15 wks,0.8538
LA58_33,LA58_33,normal,one_step,CM3597,F,KTC,150K,15 wks,0.5051
LA58_34,LA58_34,normal,one_step,CM3650,F,KT,300K,15 wks,1.1896
LA58_35B,LA58_35B,normal,one_step,CM3676,F,KT,300K,15 wks,0.19
LA58_36,LA58_36,normal,one_step,LA1081,M,KT,300K,15 wks,1.2465
LA58_37,LA58_37,normal,one_step,SK1512,M,KT,300K,15 wks,0.7419
LA58_38,LA58_38,normal,one_step,SK1513,M,KT,300K,15 wks,1.039
LA58_39B,LA58_39B,normal,one_step,SK1516,F,KT,300K,15 wks,0.8604
LA58_3B,LA58_3B,normal,one_step,MT2277,M,KTC,150K,15 wks,1.0727
LA58_3B_i25,LA58_3B,technical_rep,two_step,MT2277,M,KTC,150K,15 wks,1.0727
LA58_3B_i13,LA58_3B,technical_rep,one_step,MT2277,M,KTC,150K,15 wks,1.0727
LA58_3B_i31,LA58_3B,technical_rep,two_step,MT2277,M,KTC,150K,15 wks,1.0727
LA58_40B,LA58_40B,normal,one_step,SK1517,F,KT,300K,15 wks,0.2498
LA58_4B,LA58_4B,normal,one_step,MT2278,M,KTC,150K,15 wks,0.7114
LA58_4B_i14,LA58_4B,technical_rep,one_step,MT2278,M,KTC,150K,15 wks,0.7114
LA58_4B_i26,LA58_4B,technical_rep,two_step,MT2278,M,KTC,150K,15 wks,0.7114
LA58_4B_i32,LA58_4B,technical_rep,two_step,MT2278,M,KTC,150K,15 wks,0.7114
LA58_5B,LA58_5B,normal,one_step,MT2326,M,KTC,150K,15 wks,0.8689
LA58_5B_i33,LA58_5B,technical_rep,two_step,MT2326,M,KTC,150K,15 wks,0.8689
LA58_6C,LA58_6C,normal,one_step,MT2327,M,KTC,150K,15 wks,0.3653
LA58_6C_i34,LA58_6C,technical_rep,two_step,MT2327,M,KTC,150K,15 wks,0.3653
LA58_7B,LA58_7B,normal,one_step,MT2328,M,KTC,150K,15 wks,0.9905
LA58_7B_i15,LA58_7B,technical_rep,one_step,MT2328,M,KTC,150K,15 wks,0.9905
LA58_7B_i27,LA58_7B,technical_rep,two_step,MT2328,M,KTC,150K,15 wks,0.9905
LA58_8B,LA58_8B,normal,one_step,MT2321,M,KTC,150K,15 wks,0.8835
LA58_8B_i16,LA58_8B,technical_rep,one_step,MT2321,M,KTC,150K,15 wks,0.8835
LA58_8B_i28,LA58_8B,technical_rep,two_step,MT2321,M,KTC,150K,15 wks,0.8835
LA58_9C,LA58_9C,normal,one_step,MT2324,M,KTC,150K,15 wks,1.0039